category;name;value;status;type;condition;provinsi;kabupaten/kota;latitude;longitude;year;potential
Land;Hospital/Clinic;823455321728;Used for Operations;Warehouse/Logistics;Needs Repair;Sulawesi Barat;Kabupaten Majene;-2.8441371;119.2320784;2017;0
Building;Sports Facilities (Stadium, Sports Field);911949799207;Used for Functional Vehicles;School/University Building;Well Maintained;Maluku;Kabupaten Maluku Tengah;-3.2384616;130.1452734;2017;0
Land;Warehouse/Logistics;1128717497744;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Maluku Utara;Kabupaten Halmahera;1.5709993;127.8087693;2017;0
Building;Public Facilities (Park, Field);877342763754;Not Yet Used;Hospital/Clinic;Severely Damaged;Papua Barat;Kabupaten Manokwari;-1.3361154;133.1747162;2017;105281131650
Land;School/University Building;1026919784525;Not Yet Used;Monument or Historical Building;Slightly Damaged;Papua;Kabupaten Jayapura;-4.269928;138.0803529;2017;112961176298
Building;Unused Vacant Land;571202339197;Not Yet Used;Monument or Historical Building;Needs Repair;Banten;Kota Tangerang Selatan;-6.2888889;106.7180556;2017;85680350880
Land;Plantation Land;1156618136274;Used According to Procedure;Hospital/Clinic;Needs Repair;Jawa Timur;Kabupaten Banyuwangi;-8.2186111;114.3669444;2017;0
Land;Official Residence;640501810469;Used for Functional Vehicles;School/University Building;Severely Damaged;Jawa Timur;Kabupaten Madiun;-7.627753;111.505483;2017;0
Building;Agricultural Land;664686156121;Used According to Procedure;Hospital/Clinic;Slightly Damaged;Jawa Timur;Kabupaten Ponorogo;-7.867827;111.466003;2017;0
Land;Warehouse/Logistics;1189011361470;Not Yet Used;Warehouse/Logistics;Severely Damaged;Jawa Timur;Kabupaten Magetan;-7.6493413;111.3381593;2017;166461590606
Land;Unused Vacant Land;1481546106581;Used According to Procedure;Government Office Building;Slightly Damaged;Jawa Timur;Kabupaten Pacitan;-8.204614;111.08769;2017;0
Building;Official Residence;1394727762861;Used for Functional Vehicles;Monument or Historical Building;Well Maintained;Jawa Timur;Kabupaten Ngawi;-7.38993;111.46193;2017;0
Building;School/University Building;951343216657;Used for Operations;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Bangkalan;-7.0306912;112.7450068;2017;0
Land;Sports Facilities (Stadium, Sports Field);797735915887;Not Yet Used;Government Office Building;Needs Repair;Jawa Timur;Kabupaten Kediri;-7.809356;112.032356;2017;103705669065
Building;Public Facilities (Park, Field);939044897870;Used for Operations;Public Facilities (e.g., park, field);Needs Repair;Jawa Timur;Kabupaten Bondowoso;-7.917704;113.813483;2017;0
Land;Monument or Historical Building;1053012736018;Used by Other Parties;Agricultural Land;Well Maintained;Jawa Timur;Kabupaten Blitar;-8.1014419;112.162762;2017;0
Land;Agricultural Land;759155549246;Used for Operations;Warehouse/Logistics;Slightly Damaged;Jawa Timur;Kabupaten Trenggalek;-8.05;111.7166667;2017;0
Land;School/University Building;1213962537391;Not Used/Abandoned;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Tulungagung;-8.0666667;111.9;2017;121396253739
Land;Unused Vacant Land;520762945448;Used by Other Parties;School/University Building;Slightly Damaged;Jawa Timur;Kabupaten Nganjuk;-7.602932;111.901808;2017;0
Land;Monument or Historical Building;1433477766287;Not Used/Abandoned;Hospital/Clinic;Needs Repair;Jawa Timur;Kabupaten Situbondo;-7.702534;113.955605;2017;157682554292
Building;Official Residence;1218251335645;Used According to Procedure;Infrastructure (e.g., bridges, roads);Needs Repair;Jawa Timur;Kabupaten Malang;-8.0495643;112.6884549;2017;0
Land;Sports Facilities (Stadium, Sports Field);1364372812614;Used by Other Parties;Agricultural Land;Needs Repair;Jawa Timur;Kabupaten Jember;-8.172357;113.700302;2017;0
Building;Unused Vacant Land;833238218045;Used for Operations;School/University Building;Severely Damaged;Jawa Timur;Kabupaten Sumenep;-6.9253999;113.9060624;2017;0
Land;Agricultural Land;1422932626011;Used for Functional Vehicles;Plantation Land;Severely Damaged;Jawa Timur;Kabupaten Pasuruan;-6.8623098;108.8001936;2017;0
Land;Hospital/Clinic;1480695405788;Used for Functional Vehicles;Agricultural Land;Well Maintained;Jawa Timur;Kabupaten Pamekasan;-7.1666667;113.4666667;2017;0
Land;Monument or Historical Building;675147457423;Used for Operations;School/University Building;Slightly Damaged;Jawa Timur;Kabupaten Probolinggo;-7.753965;113.210675;2017;0
Land;Government Office Building;1067570455767;Used for Operations;Monument or Historical Building;Needs Repair;Jawa Timur;Kabupaten Lumajang;-8.137022;113.226601;2017;0
Building;Unused Vacant Land;1358131109919;Not Used/Abandoned;Warehouse/Logistics;Well Maintained;Jawa Timur;Kabupaten Bojonegoro;0.882681;124.4669566;2017;203719666488
Land;Agricultural Land;545196586108;Used by Other Parties;Public Facilities (e.g., park, field);Severely Damaged;Jawa Timur;Kabupaten Tuban;-8.7493146;115.1711298;2017;0
Building;Warehouse/Logistics;1267750689287;Used for Operations;Plantation Land;Needs Repair;Jawa Timur;Kabupaten Lamongan;-7.406153;109.3946794;2017;0
Building;Monument or Historical Building;531569395618;Used for Operations;Plantation Land;Well Maintained;Jawa Timur;Kabupaten Sidoarjo;-7.4530278;112.7173389;2017;0
Land;Sports Facilities (Stadium, Sports Field);1147413541969;Not Used/Abandoned;Government Office Building;Severely Damaged;Jawa Timur;Kabupaten Sampang;-7.5782556;109.2058436;2017;172112031295
Land;Unused Vacant Land;591939956090;Not Used/Abandoned;Hospital/Clinic;Slightly Damaged;Jawa Timur;Kabupaten Mojokerto;-7.488075;112.427027;2017;71032794731
Building;Hospital/Clinic;596637794023;Used for Operations;Warehouse/Logistics;Well Maintained;Jawa Timur;Kabupaten Gresik;-7.15665;112.6555;2017;0
Land;Government Office Building;782548026385;Not Used/Abandoned;Monument or Historical Building;Well Maintained;Jawa Timur;Kabupaten Jombang;-7.5468395;112.2264794;2017;101731243430
Building;School/University Building;868141672033;Used for Operations;Warehouse/Logistics;Slightly Damaged;Jawa Timur;Kota Mojokerto;-7.4722222;112.4336111;2017;0
Land;Government Office Building;999742858917;Not Yet Used;Government Office Building;Slightly Damaged;Jawa Timur;Kota Surabaya;-7.289166;112.734398;2017;119969143070
Building;Sports Facilities (Stadium, Sports Field);563992394321;Not Yet Used;Government Office Building;Slightly Damaged;Jawa Timur;Kota Madiun;-7.629714;111.513702;2017;62039163375
Building;Unused Vacant Land;886026557494;Not Used/Abandoned;Agricultural Land;Severely Damaged;Jawa Timur;Kota Blitar;-8.1;112.15;2017;97462921324
Building;School/University Building;1448175438171;Used for Functional Vehicles;Sports Facilities (e.g., stadium, sports field);Well Maintained;Jawa Timur;Kota Malang;-7.981894;112.626503;2017;0
Building;Agricultural Land;971640508763;Used by Other Parties;Government Office Building;Well Maintained;Jawa Timur;Kota Batu;-7.8671;112.5239;2017;0
Building;Warehouse/Logistics;1466076291344;Used for Functional Vehicles;Agricultural Land;Needs Repair;Jawa Timur;Kota Pasuruan;-7.644872;112.903297;2017;0
Land;Government Office Building;1436773727989;Used for Functional Vehicles;Public Facilities (e.g., park, field);Slightly Damaged;Jawa Timur;Kota Kediri;-7.816895;112.011398;2017;0
Land;Sports Facilities (Stadium, Sports Field);767776222694;Used by Other Parties;Sports Facilities (e.g., stadium, sports field);Needs Repair;Jawa Timur;Kota Probolinggo;-7.756928;113.211502;2017;0
Building;Government Office Building;1306070645787;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Needs Repair;Jambi;Kabupaten Batanghari;-1.7083922;103.0817903;2017;169789183952
Building;Government Office Building;841168282195;Used by Other Parties;Hospital/Clinic;Needs Repair;Jambi;Kabupaten Bungo;-1.6401338;101.8891721;2017;0
Building;Monument or Historical Building;1138270060865;Used for Functional Vehicles;Government Office Building;Slightly Damaged;Jambi;Kabupaten Kerinci;-1.8720467;101.4339148;2017;0
Land;Monument or Historical Building;820685951621;Used for Operations;School/University Building;Severely Damaged;Jambi;Kabupaten Merangin;-2.1752789;101.9804613;2017;0
Land;Official Residence;692269368713;Used for Operations;Infrastructure (e.g., bridges, roads);Well Maintained;Jambi;Kabupaten Muaro Jambi;-1.596672;103.615799;2017;0
Building;Hospital/Clinic;1072241642307;Not Used/Abandoned;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Jambi;Kabupaten Sarolangun;-2.2654937;102.6905326;2017;128668997077
Land;Public Facilities (Park, Field);1342154349935;Not Used/Abandoned;Warehouse/Logistics;Slightly Damaged;Jambi;Kabupaten Tanjung Jabung Barat;-1.2332122;103.7984428;2017;187901608991
Building;Government Office Building;1447826297305;Used According to Procedure;Warehouse/Logistics;Slightly Damaged;Jambi;Kabupaten Tanjung Jabung Timur;-1.3291599;103.89973;2017;0
Building;Plantation Land;757700580018;Used According to Procedure;Infrastructure (e.g., bridges, roads);Severely Damaged;Jambi;Kabupaten Tebo;-1.2592999;102.3463875;2017;0
Land;Hospital/Clinic;1172080462640;Used According to Procedure;Government Office Building;Well Maintained;Jambi;Kota Jambi;-1.596672;103.615799;2017;0
Building;Public Facilities (Park, Field);1316984912634;Not Used/Abandoned;Public Facilities (e.g., park, field);Needs Repair;Jambi;Kota Sungai Penuh;-2.06314;101.387199;2017;158038189516
Land;School/University Building;707167087284;Used for Functional Vehicles;Warehouse/Logistics;Well Maintained;Aceh;Kabupaten Simeulue;2.583333;96.083333;2017;0
Land;Sports Facilities (Stadium, Sports Field);1005632727148;Used by Other Parties;Plantation Land;Well Maintained;Aceh;Kabupaten Aceh Singkil;2.3589459;97.87216;2017;0
Land;Monument or Historical Building;1396625387211;Not Yet Used;Infrastructure (e.g., bridges, roads);Well Maintained;Aceh;Kabupaten Aceh Selatan;3.3115056;97.3516558;2017;139662538721
Land;School/University Building;1356252864969;Used by Other Parties;Infrastructure (e.g., bridges, roads);Well Maintained;Aceh;Kabupaten Aceh Tenggara;3.3088666;97.6982272;2017;0
Land;Official Residence;508055795809;Not Yet Used;Infrastructure (e.g., bridges, roads);Severely Damaged;Aceh;Kabupaten Aceh Timur;5.255443;95.9885456;2017;55886137539
Land;Unused Vacant Land;1117052974411;Not Used/Abandoned;Public Facilities (e.g., park, field);Needs Repair;Aceh;Kabupaten Aceh Tengah;4.4482641;96.8350999;2017;134046356929
Building;Hospital/Clinic;1128213286425;Used by Other Parties;Public Facilities (e.g., park, field);Slightly Damaged;Aceh;Kabupaten Aceh Barat;4.4542745;96.1526985;2017;0
Land;Monument or Historical Building;1481656991243;Not Used/Abandoned;Plantation Land;Severely Damaged;Aceh;Kabupaten Aceh Besar;5.4529168;95.4777811;2017;192615408862
Land;Agricultural Land;1180993532480;Used by Other Parties;Government Office Building;Well Maintained;Aceh;Kabupaten Pidie;5.0742659;95.940971;2017;0
Building;Warehouse/Logistics;1033173821526;Not Yet Used;Infrastructure (e.g., bridges, roads);Severely Damaged;Aceh;Kabupaten Bireuen;5.18254;96.89005;2017;144644335014
Building;Unused Vacant Land;677794602477;Used for Operations;Infrastructure (e.g., bridges, roads);Severely Damaged;Aceh;Kabupaten Aceh Utara;4.9786331;97.2221421;2017;0
Land;Government Office Building;759208846324;Used According to Procedure;Warehouse/Logistics;Needs Repair;Aceh;Kabupaten Aceh Barat Daya;3.0512643;97.3368031;2017;0
Building;School/University Building;1311495750043;Used for Functional Vehicles;School/University Building;Well Maintained;Aceh;Kabupaten Gayo Lues;3.955165;97.3516558;2017;0
Building;Plantation Land;565972004959;Used for Functional Vehicles;School/University Building;Needs Repair;Aceh;Kabupaten Aceh Tamiang;4.2328871;98.0028892;2017;0
Land;Unused Vacant Land;510916229956;Not Used/Abandoned;School/University Building;Needs Repair;Aceh;Kabupaten Nagan Raya;4.1248406;96.4929797;2017;51091622996
Land;Hospital/Clinic;1104330685436;Used for Operations;Monument or Historical Building;Slightly Damaged;Aceh;Kabupaten Aceh Jaya;4.7873684;95.6457951;2017;0
Building;Warehouse/Logistics;1168697554310;Used for Operations;Hospital/Clinic;Slightly Damaged;Aceh;Kabupaten Bener Meriah;4.7748348;97.0068393;2017;0
Land;Government Office Building;1317352736839;Used for Functional Vehicles;Hospital/Clinic;Severely Damaged;Aceh;Kabupaten Pidie Jaya;5.1548063;96.195132;2017;0
Building;Public Facilities (Park, Field);1023707646342;Not Yet Used;Plantation Land;Needs Repair;Aceh;Kota Banda Aceh;5.55;95.3166667;2017;143319070488
Building;Hospital/Clinic;1333877850616;Used for Functional Vehicles;Government Office Building;Well Maintained;Aceh;Kota Sabang;5.8946929;95.3192982;2017;0
Land;Government Office Building;1316827636081;Not Used/Abandoned;Public Facilities (e.g., park, field);Severely Damaged;Aceh;Kota Langsa;4.48;97.9633333;2017;171187592691
Building;Official Residence;883999459238;Used by Other Parties;Hospital/Clinic;Needs Repair;Aceh;Kota Lhokseumawe;5.1880556;97.1402778;2017;0
Building;Hospital/Clinic;587072121005;Not Yet Used;Public Facilities (e.g., park, field);Slightly Damaged;Aceh;Kota Subulussalam;2.6449927;98.0165205;2017;88060818151
Building;Warehouse/Logistics;1254964752176;Used for Operations;Agricultural Land;Severely Damaged;Sumatera Utara;Kabupaten Nias;-8.1712591;113.7111274;2017;0
Land;Plantation Land;1455874879132;Used for Functional Vehicles;Government Office Building;Slightly Damaged;Sumatera Utara;Kabupaten Mandailing Natal;0.7432372;99.3673084;2017;0
Land;Public Facilities (Park, Field);1369640980668;Used for Operations;Agricultural Land;Needs Repair;Sumatera Utara;Kabupaten Tapanuli Selatan;1.5774933;99.2785583;2017;0
Building;Plantation Land;1126130256540;Not Used/Abandoned;Public Facilities (e.g., park, field);Needs Repair;Sumatera Utara;Kabupaten Tapanuli Tengah;1.8493299;98.704075;2017;146396933350
Land;Unused Vacant Land;592312345965;Not Yet Used;Sports Facilities (e.g., stadium, sports field);Slightly Damaged;Sumatera Utara;Kabupaten Tapanuli Utara;2.0405246;99.1013498;2017;71077481516
Building;Official Residence;1085282269230;Used by Other Parties;School/University Building;Well Maintained;Sumatera Utara;Kabupaten Toba Samosir;2.3502398;99.2785583;2017;0
Building;Monument or Historical Building;512438346665;Not Used/Abandoned;Infrastructure (e.g., bridges, roads);Slightly Damaged;Sumatera Utara;Kabupaten Labuhanbatu;2.3439863;100.1703257;2017;66616985066
Building;School/University Building;1085068923153;Not Used/Abandoned;Monument or Historical Building;Slightly Damaged;Sumatera Utara;Kabupaten Asahan;2.8174722;99.634135;2017;130208270778
Building;Sports Facilities (Stadium, Sports Field);1325268519257;Used by Other Parties;Infrastructure (e.g., bridges, roads);Well Maintained;Sumatera Utara;Kabupaten Simalungun;2.9781612;99.2785583;2017;0
Building;Agricultural Land;1233600873856;Used for Operations;Warehouse/Logistics;Well Maintained;Sumatera Utara;Kabupaten Dairi;2.8675801;98.265058;2017;0
Land;Official Residence;1108640486882;Not Yet Used;Warehouse/Logistics;Well Maintained;Sumatera Utara;Kabupaten Karo;3.1052909;98.265058;2017;110864048688
Building;Monument or Historical Building;616623163882;Used by Other Parties;Hospital/Clinic;Needs Repair;Sumatera Utara;Kabupaten Deli Serdang;3.4201802;98.704075;2017;0
Land;School/University Building;668551464656;Not Used/Abandoned;School/University Building;Needs Repair;Sumatera Utara;Kabupaten Langkat;3.8653916;98.3088441;2017;86911690405
Building;Monument or Historical Building;1336605810859;Used by Other Parties;Monument or Historical Building;Needs Repair;Sumatera Utara;Kabupaten Nias Selatan;0.7086091;97.8286368;2017;0
Land;Unused Vacant Land;1084576443871;Used by Other Parties;Government Office Building;Well Maintained;Sumatera Utara;Kabupaten Humbang Hasundutan;2.1988508;98.5721016;2017;0
Land;Plantation Land;1015427514763;Not Yet Used;Sports Facilities (e.g., stadium, sports field);Severely Damaged;Sumatera Utara;Kabupaten Pakpak Bharat;2.545786;98.299838;2017;132005576919
Land;Agricultural Land;703643355683;Used by Other Parties;Government Office Building;Well Maintained;Sumatera Utara;Kabupaten Samosir;2.5833333;98.8166667;2017;0
Land;Unused Vacant Land;918556290183;Not Yet Used;Monument or Historical Building;Needs Repair;Sumatera Utara;Kabupaten Serdang Bedagai;3.3371694;99.0571089;2017;101041191920
Land;Public Facilities (Park, Field);1074043755649;Used for Operations;Agricultural Land;Slightly Damaged;Sumatera Utara;Kabupaten Batu Bara;3.1740979;99.5006143;2017;0
Building;Official Residence;1120958556739;Not Yet Used;School/University Building;Slightly Damaged;Sumatera Utara;Kabupaten Padang Lawas Utara;1.5758644;99.634135;2017;112095855674
Land;Hospital/Clinic;1195835187055;Used for Operations;Government Office Building;Severely Damaged;Sumatera Utara;Kabupaten Padang Lawas;1.1186977;99.8124935;2017;0
Land;Official Residence;1240356619087;Used for Operations;Government Office Building;Needs Repair;Sumatera Utara;Kota Sibolga;1.7403745;98.7827988;2017;0
Land;Government Office Building;1113767376169;Used by Other Parties;Public Facilities (e.g., park, field);Needs Repair;Sumatera Utara;Kota Tanjung Balai;2.965122;99.800331;2017;0
